노선번호,기점,종점, ,기점 시간,배차간격(분)
,,,평일,06:00 ~ 22:45,17
1,천안시청,백석농공단지,토요일,06:00 ~ 22:45,17
,,,공휴일,06:00 ~ 22:45,17
1,백석농공단지,천안시청,토요일,06:00 ~ 22:45,15
,,,공휴일,06:00 ~ 22:45,15
,,,평일,06:00 ~ 22:40,15
2,두정역입구,두정역입구,토요일,06:00 ~ 22:40,18
,,,공휴일,06:00 ~ 22:40,18
,,,평일,06:10 ~ 22:10,18
3,천안역 서부광장,종합터미널,토요일,06:10 ~ 22:10,17
,,,공휴일,06:10 ~ 22:10,17
,,,평일,06:15 ~ 22:30,17
3,고속터미널,천안역 서부광장,토요일,06:15 ~ 22:30,19
,,,공휴일,06:15 ~ 22:30,19
,,,평일,06:55 ~ 21:30,19
5,두정역 푸르지오,두정역입구,토요일,06:55 ~ 21:30,35
,,,공휴일,06:55 ~ 21:30,35
,,,평일,06:35 ~ 21:45,35
5,두정역입구,두정역입구,토요일,06:35 ~ 21:45,35
,,,공휴일,06:35 ~ 21:45,35
,,,평일,06:10 ~ 23:00,35
7,두정역 푸르지오,두정역입구,토요일,06:10 ~ 23:00,17
,,,공휴일,06:10 ~ 23:00,17
,,,평일,06:20 ~ 22:00,17
9,방아다리공원,종합터미널,토요일,06:20 ~ 22:00,60
,,,공휴일,06:20 ~ 22:00,60
,,,평일,07:00 ~ 22:00,60
9,종합터미널,방아다리공원,토요일,07:00 ~ 22:00,60
,,,공휴일,07:00 ~ 22:00,60
,,,평일,22:00 ~ 03:00,60
10,천안시청,천안시청,토요일,22:00 ~ 03:00,30
,,,공휴일,22:00 ~ 03:00,30
,,,평일,22:00 ~ 03:00,30
10,천안시청,천안시청,토요일,22:00 ~ 03:00,30
,,,공휴일,22:00 ~ 03:00,30
,,,평일,06:05 ~ 22:30,30
11,두정우성아파트,두정우남아파트,토요일,06:05 ~ 22:30,18
,,,공휴일,06:05 ~ 22:30,18
,,,평일,06:10 ~ 22:30,18
11,두정우남아파트,두정한성아파트,토요일,06:10 ~ 22:30,21
,,,공휴일,06:10 ~ 22:30,21
,,,평일,06:05 ~ 22:22,21
12,부영아파트,방아다리공원,토요일,06:05 ~ 22:22,12
,,,공휴일,06:05 ~ 22:22,12
,,,평일,06:04 ~ 22:30,12
12,방아다리공원,부영아파트,토요일,06:04 ~ 22:30,15
,,,공휴일,06:04 ~ 22:30,15
,,,평일,06:00 ~ 22:30,15
13,단국대학교병원,천안아산역,토요일,06:00 ~ 22:30,14
,,,공휴일,06:00 ~ 22:30,14
,,,평일,06:05 ~ 22:45,14
13,천안아산역,단국대학교병원,토요일,06:05 ~ 22:45,13
,,,공휴일,06:05 ~ 22:45,13
,,,평일,06:00 ~ 22:20,13
14,방아다리공원,백석대학교(운동장),토요일,06:00 ~ 22:20,13
,,,공휴일,06:00 ~ 22:20,13
,,,평일,06:10 ~ 22:15,13
14,백석대학교(운동장),방아다리공원,토요일,06:10 ~ 22:15,10
,,,공휴일,06:10 ~ 22:15,10
,,,평일,06:10 ~ 21:30,10
19,천안아산역,직산대림아파트,토요일,06:10 ~ 21:30,110
,,,공휴일,06:10 ~ 21:30,110
,,,평일,07:10 ~ 20:40,110
19,직산대림아파트,천안아산역,토요일,07:10 ~ 20:40,170
,,,공휴일,07:10 ~ 20:40,170
,,,평일,06:10 ~ 22:25,170
20,천안아산역,단국대학교병원,토요일,06:10 ~ 22:25,20
,,,공휴일,06:10 ~ 22:25,20
,,,평일,06:00 ~ 22:15,20
20,단국대학교병원,천안아산역,토요일,06:00 ~ 22:15,20
,,,공휴일,06:00 ~ 22:15,20
,,,평일,06:45 ~ 22:40,20
21,청당벽산아파트,백석농공단지,토요일,06:45 ~ 22:40,35
,,,공휴일,06:45 ~ 22:40,35
,,,평일,06:20 ~ 22:00,35
21,백석농공단지,청당벽산아파트,토요일,06:20 ~ 22:00,20
,,,공휴일,06:20 ~ 22:00,20
,,,평일,06:10 ~ 22:30,20
24,신부동회차지,동우아파트,토요일,06:10 ~ 22:30,23
,,,공휴일,06:10 ~ 22:30,23
,,,평일,06:20 ~ 22:25,23
24,동우아파트,"부경파크빌,안서e편한세상,성불사",토요일,06:20 ~ 22:25,20
,,,공휴일,06:20 ~ 22:25,20
,,,평일,06:30 ~ 20:55,20
30,방아다리공원,충남예술고등학교,토요일,06:30 ~ 20:55,190
,,,공휴일,06:30 ~ 20:55,190
,,,평일,07:30 ~ 21:50,190
30,충남예술고등학교,방아다리공원,토요일,07:30 ~ 21:50,190
,,,공휴일,07:30 ~ 21:50,190
,,,평일,07:00 ~ 21:00,190
31,천흥리(종점),방아다리공원,토요일,07:00 ~ 21:00,180
,,,공휴일,07:00 ~ 21:00,180
,,,평일,06:00 ~ 17:10,180
31,방아다리공원,천흥리(종점),토요일,06:00 ~ 17:10,180
,,,공휴일,06:00 ~ 17:10,180
,,,평일,07:45 ~ 21:35,180
51,각원사,종합터미널,토요일,07:45 ~ 21:35,120
,,,공휴일,07:45 ~ 21:35,120
,,,평일,07:10 ~ 20:30,120
51,종합터미널,각원사,토요일,07:10 ~ 20:30,120
,,,공휴일,07:10 ~ 20:30,120
,,,평일,06:50 ~ 20:40,120
52,각원사,향교앞,토요일,06:50 ~ 20:40,110
,,,공휴일,06:50 ~ 20:40,110
,,,평일,06:20 ~ 21:00,110
52,종합터미널,각원사,토요일,06:20 ~ 21:00,110
,,,공휴일,06:20 ~ 21:00,110
,,,평일,09:05 ~ 15:45,110
55,종합터미널,리각미술관.태조산청소년수련관,토요일,09:05 ~ 15:45,350
,,,공휴일,09:05 ~ 15:45,350
,,,평일,10:00 ~ 16:40,350
55,리각미술관.태조산청소년수련관,종합터미널,토요일,10:00 ~ 16:40,520
,,,공휴일,10:00 ~ 16:40,520
,,,평일,07:20 ~ 18:30,520
62,남부고가교,"천안의료원,고려신학대학원",토요일,07:20 ~ 18:30,380
,,,공휴일,07:20 ~ 18:30,380
,,,평일,08:20 ~ 19:30,380
62,"천안의료원,고려신학대학원",남부고가교,토요일,08:20 ~ 19:30,380
,,,공휴일,08:20 ~ 19:30,380
,,,평일,09:40 ~ 19:50,380
63,남부고가교,"천안의료원,고려신학대학원",토요일,09:40 ~ 19:50,60
,,,공휴일,09:40 ~ 19:50,60
,,,평일,10:30 ~ 20:40,60
63,"천안의료원,고려신학대학원",남부고가교,토요일,10:30 ~ 20:40,60
,,,공휴일,10:30 ~ 20:40,60
,,,평일,07:00 ~ 19:50,60
70,구룡동,종합터미널,토요일,07:00 ~ 19:50,270
,,,공휴일,07:00 ~ 19:50,270
,,,평일,06:10 ~ 19:00,270
70,종합터미널,영성로,토요일,06:10 ~ 19:00,270
,,,공휴일,06:10 ~ 19:00,270
,,,평일,06:40 ~ 20:10,270
71,신부동회차지,신부동회차지,토요일,06:40 ~ 20:10,90
,,,공휴일,06:40 ~ 20:10,90
,,,평일,06:20 ~ 22:40,90
81,각원사,차암2통,토요일,06:20 ~ 22:40,15
,,,공휴일,06:20 ~ 22:40,15
,,,평일,06:30 ~ 22:30,15
81,차암2통,각원사,토요일,06:30 ~ 22:30,15
,,,공휴일,06:30 ~ 22:30,15
,,,평일,06:10 ~ 20:05,15
82,고속터미널,첨단산업단지,토요일,06:10 ~ 20:05,60
,,,공휴일,06:10 ~ 20:05,60
,,,평일,07:00 ~ 20:55,60
82,첨단산업단지,종합터미널,토요일,07:00 ~ 20:55,60
,,,공휴일,07:00 ~ 20:55,60
,,,평일,09:40 ~ 17:30,60
83,고속터미널,울금1리 노인회관,토요일,09:40 ~ 17:30,340
,,,공휴일,09:40 ~ 17:30,340
,,,평일,10:40 ~ 18:30,340
83,율금1리 노인회관,종합터미널,토요일,10:40 ~ 18:30,340
,,,공휴일,10:40 ~ 18:30,340
,,,평일,06:00 ~ 22:20,340
87,성성자이아파트후문,영성로,토요일,06:00 ~ 22:20,23
,,,공휴일,06:00 ~ 22:20,23
,,,평일,06:00 ~ 22:20,23
87,천안시종합사회복지관,성성자이아파트후문,토요일,06:00 ~ 22:20,23
,,,공휴일,06:00 ~ 22:20,23
,,,평일,06:20 ~ 23:00,23
90,천안아산역,종합터미널,토요일,06:20 ~ 23:00,20
,,,공휴일,06:20 ~ 23:00,20
,,,평일,06:10 ~ 22:40,20
90,고속터미널,천안아산역,토요일,06:10 ~ 22:40,18
,,,공휴일,06:10 ~ 22:40,18
,,,평일,07:35 ~ 00:00,18
91,구성신성아파트,천성중학교,토요일,07:35 ~ 00:00,1440
,,,공휴일,07:35 ~ 00:00,1440
,,,평일,06:20 ~ 06:40,1440
92,"신방도서관, 푸르지오아파트",북일고북일여고,토요일,06:20 ~ 06:40,1440
,,,공휴일,06:20 ~ 06:40,1440
,,,평일,07:30 ~ 07:30,1440
93,극동스타클래스더퍼스트예정지,중앙고등학교,토요일,07:30 ~ 07:30,1440
,,,공휴일,07:30 ~ 07:30,1440
,,,평일,07:00 ~ 07:15,1440
94,"신방도서관, 푸르지오아파트",천안상업고등학교,토요일,07:00 ~ 07:15,15
,,,공휴일,07:00 ~ 07:15,15
,,,평일,07:10 ~ 07:10,15
95,월봉청솔아파트,병천중고등학교,토요일,07:10 ~ 07:10,1440
,,,공휴일,07:10 ~ 07:10,1440
,,,평일,06:50 ~ 06:50,1440
97,"신방도서관, 푸르지오아파트",업성고교,토요일,06:50 ~ 06:50,1440
,,,공휴일,06:50 ~ 06:50,1440
,,,평일,21:15 ~ 21:15,1440
97,업성고교,"신방도서관, 푸르지오아파트",토요일,21:15 ~ 21:15,1440
,,,공휴일,21:15 ~ 21:15,1440
,,,평일,07:40 ~ 07:40,1440
98,청당벽산아파트,천안동중학교,토요일,07:40 ~ 07:40,10
,,,공휴일,07:40 ~ 07:40,10
,,,평일,07:15 ~ 07:15,10
99,직산대림아파트,두정우성아파트,토요일,07:15 ~ 07:15,1440
,,,공휴일,07:15 ~ 07:15,1440
,,,평일,06:00 ~ 22:05,1440
100,신부경남아파트,남서울대학교 주차장,토요일,06:00 ~ 22:05,30
,,,공휴일,06:00 ~ 22:05,30
,,,평일,06:45 ~ 22:45,30
100,남서울대학교 주차장,신부경남아파트,토요일,06:45 ~ 22:45,100
,,,공휴일,06:45 ~ 22:45,100
,,,평일,07:30 ~ 22:00,100
101,성환리(성환터미널),천안시청,토요일,07:30 ~ 22:00,260
,,,공휴일,07:30 ~ 22:00,260
,,,평일,10:40 ~ 22:00,260
101,천안시청,성환리(성환터미널),토요일,10:40 ~ 22:00,170
,,,공휴일,10:40 ~ 22:00,170
,,,평일,08:30 ~ 19:50,170
103,성환리(성환터미널),천안시청,토요일,08:30 ~ 19:50,120
,,,공휴일,08:30 ~ 19:50,120
,,,평일,06:30 ~ 18:40,120
103,천안시청,천안배원예농협,토요일,06:30 ~ 18:40,160
,,,공휴일,06:30 ~ 18:40,160
,,,평일,17:50 ~ 17:50,160
104,성환터미널,천안시청,토요일,17:50 ~ 17:50,1440
,,,공휴일,17:50 ~ 17:50,1440
,,,평일,07:10 ~ 07:10,1440
105,천안시청,성환리(성환터미널),토요일,07:10 ~ 07:10,1440
,,,공휴일,07:10 ~ 07:10,1440
,,,평일,06:25 ~ 22:30,1440
110,남서울대학교 주차장,신부경남아파트,토요일,06:25 ~ 22:30,20
,,,공휴일,06:25 ~ 22:30,20
,,,평일,06:00 ~ 22:25,20
110,신부경남아파트,남서울대학교 주차장,토요일,06:00 ~ 22:25,30
,,,공휴일,06:00 ~ 22:25,30
,,,평일,06:35 ~ 20:25,30
112,군동2리,종합터미널,토요일,06:35 ~ 20:25,35
,,,공휴일,06:35 ~ 20:25,35
,,,평일,06:00 ~ 20:50,35
112,고속터미널,군동2리,토요일,06:00 ~ 20:50,50
,,,공휴일,06:00 ~ 20:50,50
,,,평일,06:50 ~ 18:20,50
113,고속터미널,소우리,토요일,06:50 ~ 18:20,370
,,,공휴일,06:50 ~ 18:20,370
,,,평일,07:25 ~ 19:00,370
113,소우리,종합터미널,토요일,07:25 ~ 19:00,375
,,,공휴일,07:25 ~ 19:00,375
,,,평일,08:35 ~ 19:15,375
114,석곡리(돌실),성환터미널,토요일,08:35 ~ 19:15,100
,,,공휴일,08:35 ~ 19:15,100
,,,평일,08:10 ~ 18:50,100
114,성환리(성환터미널),석곡리(돌실),토요일,08:10 ~ 18:50,100
,,,공휴일,08:10 ~ 18:50,100
,,,평일,06:25 ~ 22:15,100
115,두진아파트,성환터미널,토요일,06:25 ~ 22:15,75
,,,공휴일,06:25 ~ 22:15,75
,,,평일,06:50 ~ 22:00,75
115,성환리(성환터미널),두진아파트,토요일,06:50 ~ 22:00,10
,,,공휴일,06:50 ~ 22:00,10
,,,평일,06:55 ~ 19:05,10
116,왕림리(종점),성환리(성환터미널),토요일,06:55 ~ 19:05,140
,,,공휴일,06:55 ~ 19:05,140
,,,평일,06:35 ~ 18:40,140
116,성환터미널,왕림리(종점),토요일,06:35 ~ 18:40,135
,,,공휴일,06:35 ~ 18:40,135
,,,평일,06:35 ~ 20:20,135
117,성환터미널,신방리(종점),토요일,06:35 ~ 20:20,10
,,,공휴일,06:35 ~ 20:20,10
,,,평일,07:05 ~ 20:45,10
117,신방리(종점),성환리(성환터미널),토요일,07:05 ~ 20:45,60
,,,공휴일,07:05 ~ 20:45,60
,,,평일,08:00 ~ 22:00,60
118,노와2리,성환리(성환터미널),토요일,08:00 ~ 22:00,60
,,,공휴일,08:00 ~ 22:00,60
,,,평일,07:30 ~ 21:30,60
118,성환터미널,노와2리,토요일,07:30 ~ 21:30,30
,,,공휴일,07:30 ~ 21:30,30
,,,평일,06:00 ~ 15:30,30
119,성환터미널,와룡리입구,토요일,06:00 ~ 15:30,570
,,,공휴일,06:00 ~ 15:30,570
,,,평일,06:50 ~ 16:30,570
119,추팔리(종점),송덕리,토요일,06:50 ~ 16:30,585
,,,공휴일,06:50 ~ 16:30,585
,,,평일,06:00 ~ 22:20,585
120,고속터미널,고속터미널,토요일,06:00 ~ 22:20,21
,,,공휴일,06:00 ~ 22:20,21
,,,평일,06:00 ~ 22:15,21
121,종합터미널,종합터미널,토요일,06:00 ~ 22:15,21
,,,공휴일,06:00 ~ 22:15,21
,,,평일,07:05 ~ 19:00,21
122,삼곡리종점,종합터미널,토요일,07:05 ~ 19:00,270
,,,공휴일,07:05 ~ 19:00,270
,,,평일,06:20 ~ 18:00,270
122,고속터미널,삼곡리종점,토요일,06:20 ~ 18:00,265
,,,공휴일,06:20 ~ 18:00,265
,,,평일,06:15 ~ 22:15,265
130,성환리(성환터미널),평택버스터미널,토요일,06:15 ~ 22:15,95
,,,공휴일,06:15 ~ 22:15,95
,,,평일,06:50 ~ 22:40,95
130,평택버스터미널,성환터미널,토요일,06:50 ~ 22:40,95
,,,공휴일,06:50 ~ 22:40,95
,,,평일,07:35 ~ 18:25,95
131,평택시청,성환터미널,토요일,07:35 ~ 18:25,340
,,,공휴일,07:35 ~ 18:25,340
,,,평일,06:55 ~ 17:45,340
131,성환리(성환터미널),평택시청,토요일,06:55 ~ 17:45,340
,,,공휴일,06:55 ~ 17:45,340
,,,평일,07:00 ~ 17:30,340
132,성환리(성환터미널),굿모닝병원,토요일,07:00 ~ 17:30,
,,,공휴일,07:00 ~ 17:30,
,,,평일,08:30 ~ 19:00,
132,굿모닝병원,성환터미널,토요일,08:30 ~ 19:00,
,,,공휴일,08:30 ~ 19:00,
,,,평일,06:30 ~ 21:30,
135,성환터미널,양령2리,토요일,06:30 ~ 21:30,
,,,공휴일,06:30 ~ 21:30,
,,,평일,07:00 ~ 22:00,
135,양령2리,성환리(성환터미널),토요일,07:00 ~ 22:00,
,,,공휴일,07:00 ~ 22:00,
,,,평일,07:25 ~ 21:45,
140,고속터미널,종합터미널,토요일,07:25 ~ 21:45,100
,,,공휴일,07:25 ~ 21:45,100
,,,평일,06:00 ~ 21:15,100
141,고속터미널,종합터미널,토요일,06:00 ~ 21:15,50
,,,공휴일,06:00 ~ 21:15,50
,,,평일,07:50 ~ 08:40,50
142,고속터미널,종합터미널,토요일,07:50 ~ 08:40,50
,,,공휴일,07:50 ~ 08:40,50
,,,평일,12:15 ~ 16:00,50
143,고속터미널,종합터미널,토요일,12:15 ~ 16:00,75
,,,공휴일,12:15 ~ 16:00,75
,,,평일,06:35 ~ 17:25,75
144,고속터미널,서북소방서,토요일,06:35 ~ 17:25,175
,,,공휴일,06:35 ~ 17:25,175
,,,평일,08:30 ~ 19:20,175
145,고속터미널,종합터미널,토요일,08:30 ~ 19:20,150
,,,공휴일,08:30 ~ 19:20,150
,,,평일,07:15 ~ 07:15,150
147,고속터미널,종합터미널,토요일,07:15 ~ 07:15,1440
,,,공휴일,07:15 ~ 07:15,1440
,,,평일,06:10 ~ 21:05,1440
150,고속터미널,종합터미널,토요일,06:10 ~ 21:05,50
,,,공휴일,06:10 ~ 21:05,50
,,,평일,06:25 ~ 21:35,50
151,고속터미널,종합터미널,토요일,06:25 ~ 21:35,175
,,,공휴일,06:25 ~ 21:35,175
,,,평일,08:15 ~ 08:15,175
152,고속터미널,종합터미널,토요일,08:15 ~ 08:15,1440
,,,공휴일,08:15 ~ 08:15,1440
,,,평일,07:40 ~ 08:05,1440
157,고속터미널,종합터미널,토요일,07:40 ~ 08:05,25
,,,공휴일,07:40 ~ 08:05,25
,,,평일,06:00 ~ 21:30,25
160,성환리(성환터미널),성환리(성환터미널),토요일,06:00 ~ 21:30,35
,,,공휴일,06:00 ~ 21:30,35
,,,평일,06:20 ~ 21:45,35
161,성환터미널,성환리(성환터미널),토요일,06:20 ~ 21:45,10
,,,공휴일,06:20 ~ 21:45,10
,,,평일,07:45 ~ 20:45,10
164,성환리(성환터미널),성환리(성환터미널),토요일,07:45 ~ 20:45,70
,,,공휴일,07:45 ~ 20:45,70
,,,평일,08:05 ~ 20:20,70
165,성환터미널,성환리(성환터미널),토요일,08:05 ~ 20:20,70
,,,공휴일,08:05 ~ 20:20,70
,,,평일,07:00 ~ 07:00,70
166,성환터미널,성환고등학교,토요일,07:00 ~ 07:00,1440
,,,공휴일,07:00 ~ 07:00,1440
,,,평일,06:35 ~ 22:30,1440
200,입장(회차지),천안역,토요일,06:35 ~ 22:30,24
,,,공휴일,06:35 ~ 22:30,24
,,,평일,06:10 ~ 22:50,24
200,천안역,입장회차지,토요일,06:10 ~ 22:50,23
,,,공휴일,06:10 ~ 22:50,23
,,,평일,06:00 ~ 20:50,23
201,신부경남아파트,한마음세차장,토요일,06:00 ~ 20:50,12
,,,공휴일,06:00 ~ 20:50,12
,,,평일,06:15 ~ 22:05,12
201,봉산로타리.안성시청,금화마을,토요일,06:15 ~ 22:05,270
,,,공휴일,06:15 ~ 22:05,270
,,,평일,06:00 ~ 17:20,270
221,종합터미널,송남리,토요일,06:00 ~ 17:20,450
,,,공휴일,06:00 ~ 17:20,450
,,,평일,06:40 ~ 18:10,450
221,송남리,종합터미널,토요일,06:40 ~ 18:10,500
,,,공휴일,06:40 ~ 18:10,500
,,,평일,08:15 ~ 18:50,500
229,입장회차지,충남예술고등학교,토요일,08:15 ~ 18:50,
,,,공휴일,08:15 ~ 18:50,
,,,평일,07:50 ~ 18:20,
229,충남예술고등학교,입장회차지,토요일,07:50 ~ 18:20,
,,,공휴일,07:50 ~ 18:20,
,,,평일,06:10 ~ 21:20,
230,입장회차지,충남예술고등학교,토요일,06:10 ~ 21:20,
,,,공휴일,06:10 ~ 21:20,
,,,평일,06:35 ~ 21:45,
230,충남예술고등학교,저리2리(모시울),토요일,06:35 ~ 21:45,
,,,공휴일,06:35 ~ 21:45,
,,,평일,10:40 ~ 13:20,
231,입장회차지,삼곡리종점,토요일,10:40 ~ 13:20,
,,,공휴일,10:40 ~ 13:20,
,,,평일,11:00 ~ 13:40,
231,삼곡리종점,입장회차지,토요일,11:00 ~ 13:40,
,,,공휴일,11:00 ~ 13:40,
,,,평일,06:50 ~ 21:45,
232,청룡(종점),입장회차지,토요일,06:50 ~ 21:45,
,,,공휴일,06:50 ~ 21:45,
,,,평일,06:35 ~ 21:30,
232,입장회차지,입장회차지,토요일,06:35 ~ 21:30,
,,,공휴일,06:35 ~ 21:30,
,,,평일,07:00 ~ 21:10,
234,양대리,입장회차지,토요일,07:00 ~ 21:10,
,,,공휴일,07:00 ~ 21:10,
,,,평일,06:40 ~ 20:50,
234,입장회차지,양대리(종점),토요일,06:40 ~ 20:50,
,,,공휴일,06:40 ~ 20:50,
,,,평일,07:50 ~ 19:20,
